date,N2,CH4,CO2
1552715775000,1919.7,2065570.0,763249.0
1552715895000,1922.56,2066390.0,764131.0
1552716016000,1923.72,2066680.0,763407.0
1552716138000,1921.14,2071420.0,763649.0
1552716260000,1935.72,2069490.0,763250.0
1552716380000,1929.96,2067460.0,763303.0
1552716501000,1913.38,2064350.0,764180.0
1552716621000,1918.06,2066500.0,763380.0
1552716743000,1924.64,2069710.0,763664.0
1552716864000,1917.68,2068360.0,763703.0
1552716984000,1917.44,2066310.0,762926.0
1552717104000,1933.14,2068370.0,764437.0
1552717224000,1929.48,2070570.0,764175.0
1552717344000,1930.28,2066800.0,763716.0
1552717465000,1915.44,2066230.0,763813.0
1552717585000,1930.58,2067000.0,763241.0
1552717705000,1929.58,2067550.0,763784.0
1552717825000,1936.26,2066610.0,763472.0
1552717945000,1914.52,2064970.0,763954.0
1552718066000,1921.72,2063060.0,763916.0
1552718186000,1927.76,2064140.0,763441.0
1552718309000,1923.7,2066070.0,763720.0
1552718428000,1913.66,2064240.0,763777.0
1552718550000,1920.14,2064400.0,763698.0
1552718671000,1924.94,2066350.0,763411.0
1552718791000,1923.62,2067980.0,764140.0
1552718911000,1927.9,2072740.0,763590.0
1552719031000,1923.74,2069330.0,763623.0
1552719152000,1954.44,2065150.0,763686.0
1552719272000,1927.82,2064600.0,763087.0
1552719396000,1928.98,2072030.0,763646.0
1552719517000,1923.78,2067950.0,763696.0
1552719640000,1918.2,2071600.0,764105.0
1552719760000,1921.14,2067300.0,764132.0
1552719880000,1932.94,2069430.0,763398.0
1552720004000,1909.44,2067880.0,763397.0
1552720126000,1908.92,2065910.0,763544.0
1552720247000,1923.58,2065720.0,763522.0
1552720369000,1912.32,2066710.0,764290.0
1552720489000,1926.54,2063980.0,763592.0
1552720613000,1910.98,2063130.0,762917.0
1552720734000,1923.22,2062890.0,763420.0
1552720854000,1919.48,2063570.0,763522.0
1552720977000,1922.08,2064530.0,763742.0
1552721097000,1919.2,2063720.0,763434.0
1552721218000,1914.2,2062210.0,763417.0
1552721338000,1937.42,2065200.0,764048.0
1552721461000,1918.24,2066710.0,763784.0
1552721581000,1921.0,2068270.0,763859.0
1552721701000,1921.92,2067120.0,763802.0
1552721821000,1922.66,2066620.0,763063.0
1552721941000,1932.22,2065650.0,763871.0
1552722061000,1920.42,2063760.0,763536.0
1552722183000,1920.1,2068140.0,763309.0
1552722305000,1919.24,2064600.0,763850.0
1552722426000,1929.16,2065030.0,763984.0
1552722548000,1922.2,2067180.0,764209.0
1552722668000,1926.94,2065270.0,763316.0
1552722789000,1933.94,2068140.0,763745.0
1552722909000,1941.22,2065230.0,763624.0
1552723031000,1921.74,2067320.0,763567.0
1552723151000,1930.88,2069590.0,763294.0
1552723273000,1925.18,2066710.0,763905.0
1552723395000,1930.58,2070260.0,763690.0
1552723514000,1915.26,2066490.0,763830.0
1552723635000,1924.52,2066860.0,764376.0
1552723755000,1928.36,2073480.0,763325.0
1552723874000,1923.1,2071150.0,764033.0
1552723995000,1930.28,2069090.0,763278.0
1552724117000,1927.44,2069250.0,763861.0
1552724237000,1918.88,2072600.0,763660.0
1552724357000,1923.52,2072350.0,762361.0
1552724477000,1940.5,2068240.0,764158.0
1552724597000,1921.8,2067330.0,763655.0
1552724717000,1923.7,2067500.0,763486.0
1552724838000,1938.28,2069180.0,764196.0
1552724960000,1926.82,2071870.0,763563.0
1552725081000,1928.4,2066680.0,763449.0
1552725202000,1924.7,2068690.0,763559.0
1552725324000,1919.46,2067980.0,763732.0
1552725445000,1937.66,2068330.0,763264.0
1552725566000,1919.44,2065820.0,763729.0
1552725686000,1914.32,2066920.0,763521.0
1552725806000,1921.48,2064670.0,763970.0
1552725926000,1927.94,2070240.0,763349.0
1552726046000,1933.26,2071980.0,764359.0
1552726167000,1913.82,2066180.0,764234.0
1552726286000,1924.42,2068400.0,764064.0
1552726407000,1920.24,2070430.0,764566.0
1552726528000,1930.88,2068210.0,762441.0
1552726652000,1917.56,2067170.0,764054.0
1552726773000,1913.32,2064730.0,763881.0
1552726892000,1930.42,2068400.0,764095.0
1552727015000,1911.54,2065820.0,763943.0
1552727137000,1917.82,2068780.0,763658.0
1552727257000,1925.46,2067520.0,763639.0
1552727379000,1914.66,2067510.0,763707.0
1552727499000,1920.1,2065570.0,763734.0
1552727621000,1924.4,2063060.0,764054.0
1552727743000,1921.04,2066750.0,763451.0
1552727865000,1925.7,2063150.0,763597.0
1552727985000,1931.8,2063190.0,764017.0
1552728106000,1927.28,2063800.0,763653.0
1552728226000,1920.92,2065570.0,764081.0
1552728348000,1923.78,2066610.0,763847.0
1552728469000,1930.74,2064660.0,764106.0
1552728589000,1928.86,2070810.0,763521.0
1552728710000,1933.38,2066130.0,763528.0
1552728831000,1923.34,2066980.0,763644.0
1552728951000,1920.24,2069770.0,764356.0
1552729072000,1920.76,2065930.0,764049.0
1552729194000,1934.56,2067050.0,764174.0
1552729316000,1915.0,2065410.0,763910.0
